  | myspell-en_IE            | MySpell en_IE Dictionary                          | package
  | myspell-en_IN            | MySpell en_IN Dictionary                          | package
  | myspell-en_JM            | MySpell en_JM Dictionary                          | package
  | myspell-en_MW            | MySpell en_MW Dictionary                          | package
  | myspell-en_NA            | MySpell en_NA Dictionary                          | package
  | myspell-en_NZ            | MySpell en_NZ Dictionary                          | package
  | myspell-en_PH            | MySpell en_PH Dictionary                          | package
  | myspell-en_TT            | MySpell en_TT Dictionary                          | package
  | myspell-en_US            | MySpell en_US Dictionary                          | package
  | myspell-en_ZA            | MySpell en_ZA Dictionary                          | package
  | myspell-en_ZW            | MySpell en_ZW Dictionary                          | package
  | myspell-es               | MySpell es Dictionary                             | package
  | myspell-es_AR            | MySpell es_AR Dictionary                          | package
  | myspell-es_BO            | MySpell es_BO Dictionary                          | package
  | myspell-es_CL            | MySpell es_CL Dictionary                          | package
  | myspell-es_CO            | MySpell es_CO Dictionary                          | package
  | myspell-es_CR            | MySpell es_CR Dictionary                          | package
  | myspell-es_CU            | MySpell es_CU Dictionary                          | package
  | myspell-es_DO            | MySpell es_DO Dictionary                          | package
  | myspell-es_EC            | MySpell es_EC Dictionary                          | package
  | myspell-es_ES            | MySpell es_ES Dictionary                          | package
  | myspell-es_GT            | MySpell es_GT Dictionary                          | package
  | myspell-es_HN            | MySpell es_HN Dictionary                          | package
  | myspell-es_MX            | MySpell es_MX Dictionary                          | package
  | myspell-es_NI            | MySpell es_NI Dictionary                          | package
  | myspell-es_PA            | MySpell es_PA Dictionary                          | package
  | myspell-es_PE            | MySpell es_PE Dictionary                          | package
  | myspell-es_PR            | MySpell es_PR Dictionary                          | package
  | myspell-es_PY            | MySpell es_PY Dictionary                          | package
  | myspell-es_SV            | MySpell es_SV Dictionary                          | package
  | myspell-es_UY            | MySpell es_UY Dictionary                          | package
  | myspell-es_VE            | MySpell es_VE Dictionary                          | package
  | myspell-et_EE            | MySpell et_EE Dictionary                          | package
  | myspell-fr_BE            | MySpell fr_BE Dictionary                          | package
  | myspell-fr_CA            | MySpell fr_CA Dictionary                          | package
  | myspell-fr_CH            | MySpell fr_CH Dictionary                          | package
  | myspell-fr_FR            | MySpell fr_FR Dictionary                          | package
  | myspell-fr_LU            | MySpell fr_LU Dictionary                          | package
  | myspell-fr_MC            | MySpell fr_MC Dictionary                          | package
  | myspell-gd_GB            | MySpell gd_GB Dictionary                          | package
  | myspell-german-old       | Old German Dictionary for MySpell                 | package
  | myspell-gl               | MySpell gl Dictionary                             | package
  | myspell-gl_ES            | MySpell gl_ES Dictionary                          | package
  | myspell-gu_IN            | MySpell gu_IN Dictionary                          | package
  | myspell-gug              | MySpell gug Dictionary                            | package
  | myspell-gug_PY           | MySpell gug_PY Dictionary                         | package
  | myspell-he_IL            | MySpell he_IL Dictionary                          | package
  | myspell-hi_IN            | MySpell hi_IN Dictionary                          | package
  | myspell-hr_HR            | MySpell hr_HR Dictionary                          | package
  | myspell-hu_HU            | MySpell hu_HU Dictionary                          | package
  | myspell-id               | MySpell id Dictionary                             | package
  | myspell-id_ID            | MySpell id_ID Dictionary                          | package
  | myspell-is               | MySpell is Dictionary                             | package
